,Unnamed: 0,INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR
3501,3501,Fatal/Injury Collision,9400 160TH ST ,1,2011
3502,3502,Fatal/Injury Collision,12800 108TH AVE ,1,2011
3503,3503,Fatal/Injury Collision,15300 102A AVE ,1,2011
3504,3504,Fatal/Injury Collision,7100  LEVY PL,1,2011
3505,3505,Fatal/Injury Collision,10200 141ST ST ,1,2011
3506,3506,Fatal/Injury Collision,19300 65TH AVE ,1,2011
3507,3507,Fatal/Injury Collision,9200 123A ST ,1,2011
3508,3508,Fatal/Injury Collision,8300 146TH ST ,1,2011
3509,3509,Fatal/Injury Collision,9700  120TH ST,1,2011
3510,3510,Fatal/Injury Collision,12800 OLD YALE RD,1,2011
3511,3511,Fatal/Injury Collision,13800 100TH AVE ,1,2011
3512,3512,Fatal/Injury Collision,18700 16TH AVE ,1,2011
3513,3513,Fatal/Injury Collision,6900  124TH ST,1,2011
3514,3514,Fatal/Injury Collision,18300 64TH AVE ,1,2011
3515,3515,Fatal/Injury Collision,15400  COLEBROOK RD,1,2011
3516,3516,Fatal/Injury Collision,15300 88TH AVE ,1,2011
3517,3517,Fatal/Injury Collision,14100 108TH AVE ,1,2011
3518,3518,Fatal/Injury Collision,7500 138TH ST ,1,2011
3519,3519,Fatal/Injury Collision,13300 84TH AVE ,1,2011
3520,3520,Fatal/Injury Collision,14400 109TH AVE ,1,2011
3521,3521,Fatal/Injury Collision,15700 FRASER HWY ,1,2011
3522,3522,Fatal/Injury Collision,13000 104TH AVE ,1,2011
3523,3523,Fatal/Injury Collision,12700 KING GEORGE BLVD,1,2011
3524,3524,Fatal/Injury Collision,8100 128TH ST ,1,2011
3525,3525,Fatal/Injury Collision,9600 137A ST ,1,2011
3526,3526,Fatal/Injury Collision,12200 66TH AVE ,1,2011
3527,3527,Fatal/Injury Collision,14100 91ST AVE ,1,2011
3528,3528,Fatal/Injury Collision,12800 KING GEORGE BLVD,1,2011
3529,3529,Fatal/Injury Collision,10900 131A ST ,1,2011
3530,3530,Fatal/Injury Collision,12400 82ND AVE ,1,2011
3531,3531,Fatal/Injury Collision,8300 123RD ST ,1,2011
3532,3532,Fatal/Injury Collision,13900 104TH AVE ,1,2011
3533,3533,Fatal/Injury Collision,12200 KING GEORGE BLVD,1,2011
3534,3534,Fatal/Injury Collision,6700 128TH ST ,1,2011
3535,3535,Fatal/Injury Collision,16400 GLENSIDE PL ,1,2011
3536,3536,Fatal/Injury Collision,8400  166TH ST,1,2011
3537,3537,Fatal/Injury Collision,10400 152ND ST ,1,2011
3538,3538,Fatal/Injury Collision,13700 104TH AVE ,1,2011
3539,3539,Fatal/Injury Collision,14900 57TH AVE ,1,2011
3540,3540,Fatal/Injury Collision,10300 KING GEORGE BLVD,1,2011
3541,3541,Fatal/Injury Collision,13200 62A AVE ,1,2011
3542,3542,Fatal/Injury Collision,1800 152ND ST ,1,2011
3543,3543,Fatal/Injury Collision,1800 152ND ST ,1,2011
3544,3544,Fatal/Injury Collision,9600 KING GEORGE BLVD,1,2011
3545,3545,Fatal/Injury Collision,12200 68TH AVE ,1,2011
3546,3546,Fatal/Injury Collision,10600 135A ST ,1,2011
3547,3547,Fatal/Injury Collision,7300 137TH ST ,1,2011
3548,3548,Fatal/Injury Collision,10300 CITY PKWY ,1,2011
3549,3549,Fatal/Injury Collision,12400 63A AVE ,1,2011
3550,3550,Fatal/Injury Collision,12400 63A AVE ,1,2011
3551,3551,Fatal/Injury Collision,16300 28TH AVE ,1,2011
3552,3552,Fatal/Injury Collision,13200 89TH AVE ,1,2011
3553,3553,Fatal/Injury Collision,10000 172ND ST ,1,2011
3554,3554,Fatal/Injury Collision,2400 152ND ST ,1,2011
3555,3555,Fatal/Injury Collision,15200 56TH AVE ,1,2011
3556,3556,Fatal/Injury Collision,5800 177B ST ,1,2011
3557,3557,Fatal/Injury Collision,12200 KING GEORGE BLVD,1,2011
3558,3558,Fatal/Injury Collision,13400 90TH AVE ,1,2011
3559,3559,Fatal/Injury Collision,9500 172ND ST ,1,2011
3560,3560,Fatal/Injury Collision,14300 82ND AVE ,1,2011
3561,3561,Fatal/Injury Collision,6800 131ST ST ,1,2011
3562,3562,Fatal/Injury Collision,10400 152ND ST ,1,2011
3563,3563,Fatal/Injury Collision,12200 KING GEORGE BLVD,1,2011
3564,3564,Fatal/Injury Collision,6700 132ND ST ,1,2011
3565,3565,Fatal/Injury Collision,15500 89A AVE ,1,2011
3566,3566,Fatal/Injury Collision,15300 102A AVE ,1,2011
3567,3567,Fatal/Injury Collision,11800 TANNERY RD ,1,2011
3568,3568,Fatal/Injury Collision,12000  72ND AVE,1,2011
3569,3569,Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2011
3570,3570,Fatal/Injury Collision,7000 KING GEORGE BLVD,1,2011
3571,3571,Fatal/Injury Collision,1600 152ND ST ,1,2011
3572,3572,Fatal/Injury Collision,13400 72ND AVE ,1,2011
3573,3573,Fatal/Injury Collision,17800  FRASER HWY,1,2011
3574,3574,Fatal/Injury Collision,10200 132ND ST ,1,2011
3575,3575,Fatal/Injury Collision,6900 151A ST ,1,2011
3576,3576,Fatal/Injury Collision,7300 KING GEORGE BLVD,1,2011
3577,3577,Fatal/Injury Collision,18900 88TH AVE ,1,2011
3578,3578,Fatal/Injury Collision,7300 137TH ST ,1,2011
3579,3579,Fatal/Injury Collision,17400 32ND AVE ,1,2011
3580,3580,Fatal/Injury Collision,13200  MELVILLE PL,1,2011
3581,3581,Fatal/Injury Collision,7600 KING GEORGE BLVD,1,2011
3582,3582,Fatal/Injury Collision,7000 128TH ST ,1,2011
3583,3583,Fatal/Injury Collision,16200 BEACH RD ,1,2011
3584,3584,Fatal/Injury Collision,13600 100TH AVE ,1,2011
3585,3585,Fatal/Injury Collision,13500 BENTLEY RD ,1,2011
3586,3586,Fatal/Injury Collision,1600  140TH ST,1,2011
3587,3587,Fatal/Injury Collision,7900 128TH ST ,1,2011
3588,3588,Fatal/Injury Collision,13300 72ND AVE ,1,2011
3589,3589,Fatal/Injury Collision,17300  56TH AVE,1,2011
3590,3590,Fatal/Injury Collision,15800 26TH AVE ,1,2011
3591,3591,Fatal/Injury Collision,17800 104TH AVE ,1,2011
3592,3592,Fatal/Injury Collision,100 176TH ST ,1,2011
3593,3593,Fatal/Injury Collision,12700 112B AVE ,1,2011
3594,3594,Fatal/Injury Collision,14600 104TH AVE ,1,2011
3595,3595,Fatal/Injury Collision,13400 108TH AVE ,1,2011
3596,3596,Fatal/Injury Collision,13300 105TH AVE ,1,2011
3597,3597,Fatal/Injury Collision,10300 152ND ST ,1,2011
3598,3598,Fatal/Injury Collision,12400 88TH AVE ,1,2011
3599,3599,Fatal/Injury Collision,13300 88TH AVE ,1,2011
3600,3600,Fatal/Injury Collision,14300 90TH AVE ,1,2011
3601,3601,Fatal/Injury Collision,8200 166TH ST ,1,2011
3602,3602,Fatal/Injury Collision,8200 166TH ST ,1,2011
3603,3603,Fatal/Injury Collision,10900 128A ST ,1,2011
3604,3604,Fatal/Injury Collision,19300 22ND AVE ,1,2011
3605,3605,Fatal/Injury Collision,7300 KING GEORGE BLVD,1,2011
3606,3606,Fatal/Injury Collision,10800 132ND ST ,1,2011
3607,3607,Fatal/Injury Collision,8400 160TH ST ,1,2011
3608,3608,Fatal/Injury Collision,7400 KING GEORGE BLVD,1,2011
3609,3609,Fatal/Injury Collision,17900 68TH AVE ,1,2011
3610,3610,Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2011
3611,3611,Fatal/Injury Collision,7300 122ND ST ,1,2011
3612,3612,Fatal/Injury Collision,17000  64TH AVE,1,2011
