,INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR
3478,Fatal/Injury Collision,14000 116TH AVE ,1,2012
3479,Fatal/Injury Collision,12600 OLD YALE RD,1,2012
3480,Fatal/Injury Collision,12600 OLD YALE RD,1,2012
3481,Fatal/Injury Collision,14300 57TH AVE ,1,2012
3482,Fatal/Injury Collision,7100  128TH ST,1,2012
3483,Fatal/Injury Collision,14400 76TH AVE ,1,2012
3484,Fatal/Injury Collision,19500  80TH AVE,1,2012
3485,Fatal/Injury Collision,14600 67B AVE ,1,2012
3486,Fatal/Injury Collision,16300 108A AVE ,1,2012
3487,Fatal/Injury Collision,9400 KING GEORGE BLVD,1,2012
3488,Fatal/Injury Collision,7800  152ND ST,1,2012
3489,Fatal/Injury Collision,15500 FRASER HWY ,1,2012
3490,Fatal/Injury Collision,6700 194TH ST ,1,2012
3491,Fatal/Injury Collision,6700 178TH ST ,1,2012
3492,Fatal/Injury Collision,19500 56TH AVE ,1,2012
3493,Fatal/Injury Collision,12600 76TH AVE ,1,2012
3494,Fatal/Injury Collision,10000 137A ST ,1,2012
3495,Fatal/Injury Collision,4900 152ND ST ,1,2012
3496,Fatal/Injury Collision,4600 192ND ST ,1,2012
3497,Fatal/Injury Collision,14600 100TH AVE ,1,2012
3498,Fatal/Injury Collision,14100 104TH AVE ,1,2012
3499,Fatal/Injury Collision,14100 104TH AVE ,1,2012
3500,Fatal/Injury Collision,7800 192ND ST ,1,2012
3501,Fatal/Injury Collision,15000 87B AVE ,1,2012
3502,Fatal/Injury Collision,7000 150TH ST ,1,2012
3503,Fatal/Injury Collision,17000 84TH AVE ,1,2012
3504,Fatal/Injury Collision,5400 188TH ST ,1,2012
3505,Fatal/Injury Collision,15500 89A AVE ,1,2012
3506,Fatal/Injury Collision,17100 65TH AVE ,1,2012
3507,Fatal/Injury Collision,17800 58TH AVE ,1,2012
3508,Fatal/Injury Collision,9100 192ND ST ,1,2012
3509,Fatal/Injury Collision,13100 MARINE DR ,1,2012
3510,Fatal/Injury Collision,13300  58TH AVE,1,2012
3511,Fatal/Injury Collision,13300  58TH AVE,1,2012
3512,Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2012
3513,Fatal/Injury Collision,18600 80TH AVE ,1,2012
3514,Fatal/Injury Collision,9200  144TH ST,1,2012
3515,Fatal/Injury Collision,7100 138TH ST ,1,2012
3516,Fatal/Injury Collision,12900 88TH AVE ,1,2012
3517,Fatal/Injury Collision,3100 184TH ST ,1,2012
3518,Fatal/Injury Collision,15300 16TH AVE ,1,2012
3519,Fatal/Injury Collision,14600 17TH AVE ,1,2012
3520,Fatal/Injury Collision,16500 FRASER HWY ,1,2012
3521,Fatal/Injury Collision,11000 RAVINE RD ,1,2012
3522,Fatal/Injury Collision,17700 66TH AVE ,1,2012
3523,Fatal/Injury Collision,13500 96TH AVE ,1,2012
3524,Fatal/Injury Collision,14300  64TH AVE,1,2012
3525,Fatal/Injury Collision,14100  88TH AVE,1,2012
3526,Fatal/Injury Collision,7000 128TH ST ,1,2012
3527,Fatal/Injury Collision,15300 96TH AVE ,1,2012
3528,Fatal/Injury Collision,8300 130TH ST ,1,2012
3529,Fatal/Injury Collision,17200  88TH AVE,1,2012
3530,Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2012
3531,Fatal/Injury Collision,15400 17A AVE ,1,2012
3532,Fatal/Injury Collision,12800 72ND AVE ,1,2012
3533,Fatal/Injury Collision,14200 67TH AVE ,1,2012
3534,Fatal/Injury Collision,12200 100A AVE ,1,2012
3535,Fatal/Injury Collision,12300 INDUSTRIAL RD ,1,2012
3536,Fatal/Injury Collision,14600 104TH AVE ,1,2012
3537,Fatal/Injury Collision,8300 132ND ST ,1,2012
3538,Fatal/Injury Collision,13300 89TH AVE ,1,2012
3539,Fatal/Injury Collision,10600 SCOTT RD ,1,2012
3540,Fatal/Injury Collision,13100 88TH AVE ,1,2012
3541,Fatal/Injury Collision,13900 102ND AVE ,1,2012
3542,Fatal/Injury Collision,7200 128TH ST ,1,2012
3543,Fatal/Injury Collision,13100 80TH AVE ,1,2012
3544,Fatal/Injury Collision,12800 OLD YALE RD,1,2012
3545,Fatal/Injury Collision,10600 139TH ST ,1,2012
3546,Fatal/Injury Collision,18900 96TH AVE ,1,2012
3547,Fatal/Injury Collision,13300 89TH AVE ,1,2012
3548,Fatal/Injury Collision,15200 104TH AVE ,1,2012
3549,Fatal/Injury Collision,12300 88TH AVE ,1,2012
3550,Fatal/Injury Collision,10000  SCOTT RD,1,2012
3551,Fatal/Injury Collision,15500 99A AVE ,1,2012
3552,Fatal/Injury Collision,15800 26TH AVE ,1,2012
3553,Fatal/Injury Collision,5900 176TH ST ,1,2012
3554,Fatal/Injury Collision,9500  120TH ST,1,2012
3555,Fatal/Injury Collision,7300 148TH ST ,1,2012
3556,Fatal/Injury Collision,12200 KING GEORGE BLVD,1,2012
3557,Fatal/Injury Collision,13800 104TH AVE ,1,2012
3558,Fatal/Injury Collision,18400 64TH AVE ,1,2012
3559,Fatal/Injury Collision,14100 29TH AVE ,1,2012
3560,Fatal/Injury Collision,14300 57TH AVE ,1,2012
3561,Fatal/Injury Collision,19200  32ND AVE,1,2012
3562,Fatal/Injury Collision,14200 69TH AVE ,1,2012
3563,Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2012
3564,Fatal/Injury Collision,3200 140TH ST ,1,2012
3565,Fatal/Injury Collision,8100 153RD ST ,1,2012
3566,Fatal/Injury Collision,10700 150TH ST ,1,2012
3567,Fatal/Injury Collision,3300  164TH ST,1,2012
3568,Fatal/Injury Collision,19300  96TH AVE,1,2012
3569,Fatal/Injury Collision,7500 138TH ST ,1,2012
3570,Fatal/Injury Collision,7500 138TH ST ,1,2012
3571,Fatal/Injury Collision,6200 134TH ST ,1,2012
3572,Fatal/Injury Collision,9400 KING GEORGE BLVD,1,2012
3573,Fatal/Injury Collision,1700 152ND ST ,1,2012
3574,Fatal/Injury Collision,15300 82ND AVE ,1,2012
3575,Fatal/Injury Collision,12300 104TH AVE ,1,2012
3576,Fatal/Injury Collision,5600 182A ST ,1,2012
3577,Fatal/Injury Collision,14300 68TH AVE ,1,2012
3578,Fatal/Injury Collision,8500 132ND ST ,1,2012
3579,Fatal/Injury Collision,6400 124TH ST ,1,2012
3580,Fatal/Injury Collision,8500 132ND ST ,1,2012
3581,Fatal/Injury Collision,7100 KING GEORGE BLVD,1,2012
3582,Fatal/Injury Collision,7100 KING GEORGE BLVD,1,2012
3583,Fatal/Injury Collision,10200 KING GEORGE BLVD,1,2012
3584,Fatal/Injury Collision,2300 GUILDFORD TOWN CTR,1,2012
3585,Fatal/Injury Collision,100 HWY 99 ,1,2012
3586,Fatal/Injury Collision,8600 159TH ST ,1,2012
3587,Fatal/Injury Collision,13100 108TH AVE ,1,2012
3588,Fatal/Injury Collision,12900 112B AVE ,1,2012
3589,Fatal/Injury Collision,8000 KING GEORGE BLVD,1,2012
3590,Fatal/Injury Collision,16400 88TH AVE ,1,2012
3591,Fatal/Injury Collision,7200 128TH ST ,1,2012
3592,Fatal/Injury Collision,13700 72A AVE ,1,2012
3593,Fatal/Injury Collision,8700  128TH ST,1,2012
3594,Fatal/Injury Collision,1700 KING GEORGE BLVD,1,2012
3595,Fatal/Injury Collision,14300 115TH AVE ,1,2012
3596,Fatal/Injury Collision,2800  156TH ST,1,2012
3597,Fatal/Injury Collision,18700 FRASER HWY ,1,2012
3598,Fatal/Injury Collision,15000 58TH AVE ,1,2012
3599,Fatal/Injury Collision,12000 93A AVE ,1,2012
3600,Fatal/Injury Collision,6500 KING GEORGE BLVD,1,2012
3601,Fatal/Injury Collision,14900 57TH AVE ,1,2012
3602,Fatal/Injury Collision,15100 62A AVE ,1,2012
3603,Fatal/Injury Collision,7300 KING GEORGE BLVD,1,2012
3604,Fatal/Injury Collision,6000 156TH ST ,1,2012
3605,Fatal/Injury Collision,8200 121A ST ,1,2012
3606,Fatal/Injury Collision,10200 KING GEORGE BLVD,1,2012
3607,Fatal/Injury Collision,15500 FRASER HWY ,1,2012
3608,Fatal/Injury Collision,10800 152ND ST ,1,2012
3609,Fatal/Injury Collision,14900 104TH AVE ,1,2012
3610,Fatal/Injury Collision,8400 123RD ST ,1,2012
3611,Fatal/Injury Collision,12800  96TH AVE,1,2012
3612,Fatal/Injury Collision,13800 74TH AVE ,1,2012
3613,Fatal/Injury Collision,7300 120TH ST ,1,2012
3614,Fatal/Injury Collision,7700 125TH ST ,1,2012
3615,Fatal/Injury Collision,10000 148TH ST ,1,2012
3616,Fatal/Injury Collision,13300 108TH AVE ,1,2012
3617,Fatal/Injury Collision,12200 NORTHPARK CRES ,1,2012
3618,Fatal/Injury Collision,13600 BENTLEY RD ,1,2012
3619,Fatal/Injury Collision,7400 121A ST ,1,2012
3620,Fatal/Injury Collision,7600 143RD ST ,1,2012
3621,Fatal/Injury Collision,6800 130TH ST ,1,2012
3622,Fatal/Injury Collision,9400  128TH ST,1,2012
3623,Fatal/Injury Collision,10000 KING GEORGE BLVD,1,2012
3624,Fatal/Injury Collision,16000 93A AVE ,1,2012
3625,Fatal/Injury Collision,17700 57TH AVE ,1,2012
3626,Fatal/Injury Collision,8100 152ND ST ,1,2012
3627,Fatal/Injury Collision,134TH ST / 68TH AVE,1,2012
3628,Fatal/Injury Collision,88TH AVE / 144TH ST,1,2012
3629,Fatal/Injury Collision,65TH AVE / 194TH ST,1,2012
3630,Fatal/Injury Collision,128TH ST / 82ND AVE,1,2012
3631,Fatal/Injury Collision,152ND ST / 108TH AVE,1,2012
3632,Fatal/Injury Collision,176A ST / 0TH AVE,1,2012
3633,Fatal/Injury Collision,150TH ST / 69A AVE,1,2012
3634,Fatal/Injury Collision,64TH AVE / 129A ST,1,2012
3635,Fatal/Injury Collision,56TH AVE / 132ND ST,1,2012
3636,Fatal/Injury Collision,156TH ST / CROYDON DR,1,2012
3637,Fatal/Injury Collision,72ND AVE / 132ND ST,1,2012
3638,Fatal/Injury Collision,96TH AVE / 126TH ST,1,2012
3639,Fatal/Injury Collision,96TH AVE / 126TH ST,1,2012
3640,Fatal/Injury Collision,184TH ST / 44TH AVE,1,2012
3641,Fatal/Injury Collision,58TH AVE / 132ND ST,1,2012
3642,Fatal/Injury Collision,176TH ST / 88TH AVE,1,2012
3643,Fatal/Injury Collision,58TH AVE / 177B ST,1,2012
3644,Fatal/Injury Collision,144TH ST / FRASER HWY,1,2012
3645,Fatal/Injury Collision,148TH ST / 17TH AVE,1,2012
3646,Fatal/Injury Collision,176TH ST / FRASER HWY,1,2012
3647,Fatal/Injury Collision,176TH ST / FRASER HWY,1,2012
3648,Fatal/Injury Collision,70A AVE / 151ST ST,1,2012
3649,Fatal/Injury Collision,122ND ST / 96TH AVE,1,2012
3650,Fatal/Injury Collision,120TH ST / 102ND AVE,1,2012
3651,Fatal/Injury Collision,8TH AVE / 184TH ST,1,2012
3652,Fatal/Injury Collision,152ND ST / 17TH AVE,1,2012
3653,Fatal/Injury Collision,125A ST / OLD YALE RD,1,2012
3654,Fatal/Injury Collision,96TH AVE / GOLDEN EARS WAY,1,2012
3655,Fatal/Injury Collision,122ND ST / 121A ST,1,2012
3656,Fatal/Injury Collision,KING GEORGE BLVD / 26TH AVE,1,2012
3657,Fatal/Injury Collision,64TH AVE / FRASER HWY,1,2012
3658,Fatal/Injury Collision,104TH AVE / SCOTT RD,1,2012
3659,Fatal/Injury Collision,161ST ST / 103RD AVE,1,2012
3660,Fatal/Injury Collision,KING GEORGE BLVD / 72ND AVE,1,2012
3661,Fatal/Injury Collision,192ND ST / 76TH AVE,1,2012
3662,Fatal/Injury Collision,142ND ST / 24TH AVE,1,2012
3663,Fatal/Injury Collision,128TH ST / 82ND AVE,1,2012
3664,Fatal/Injury Collision,UNIVERSITY DR / 105A AVE,1,2012
3665,Fatal/Injury Collision,OLD YALE RD / 104TH AVE,1,2012
3666,Fatal/Injury Collision,146TH ST / 86A AVE,1,2012
3667,Fatal/Injury Collision,16TH AVE / 160TH ST,1,2012
3668,Fatal/Injury Collision,140TH ST / 88TH AVE,1,2012
3669,Fatal/Injury Collision,96TH AVE / 192ND ST,1,2012
3670,Fatal/Injury Collision,177A ST / 101A AVE,1,2012
3671,Fatal/Injury Collision,138TH ST / 70TH AVE,1,2012
3672,Fatal/Injury Collision,16TH AVE / 176TH ST,1,2012
3673,Fatal/Injury Collision,108TH AVE / 132ND ST,1,2012
3674,Fatal/Injury Collision,8TH AVE / 192ND ST,1,2012
3675,Fatal/Injury Collision,124TH ST / 75TH AVE,1,2012
3676,Fatal/Injury Collision,KING GEORGE BLVD / 74TH AVE,1,2012
3677,Fatal/Injury Collision,122ND ST / 58TH AVE,1,2012
3678,Fatal/Injury Collision,72ND AVE / 120TH ST,1,2012
3679,Fatal/Injury Collision,KING GEORGE BLVD / SCOTT RD OFRP,1,2012
3680,Fatal/Injury Collision,112B AVE / 132ND ST,1,2012
3681,Fatal/Injury Collision,104TH AVE ONRP / 160TH ST,1,2012
3682,Fatal/Injury Collision,102A AVE / UNIVERSITY DR,1,2012
3683,Fatal/Injury Collision,157TH ST / 99A AVE,1,2012
3684,Fatal/Injury Collision,146TH ST / 85A AVE,1,2012
3685,Fatal/Injury Collision,158TH ST / 104TH AVE,1,2012
3686,Fatal/Injury Collision,94A AVE / 138TH ST,1,2012
3687,Fatal/Injury Collision,96TH AVE / KING GEORGE BLVD,1,2012
3688,Fatal/Injury Collision,84TH AVE / KING GEORGE BLVD,1,2012
3689,Fatal/Injury Collision,176TH ST / 64TH AVE,1,2012
3690,Fatal/Injury Collision,72ND AVE / KING GEORGE BLVD,1,2012
3691,Fatal/Injury Collision,148TH ST / 32ND AVE DVRS,1,2012
3692,Fatal/Injury Collision,160TH ST / 104TH AVE,1,2012
3693,Fatal/Injury Collision,192ND ST / 76TH AVE,1,2012
3694,Fatal/Injury Collision,126TH ST / 72ND AVE,1,2012
3695,Fatal/Injury Collision,88TH AVE / 152ND ST,1,2012
3696,Fatal/Injury Collision,148TH ST / 88TH AVE,1,2012
3697,Fatal/Injury Collision,FRASER HWY / 144TH ST,1,2012
3698,Fatal/Injury Collision,KING GEORGE BLVD / 84TH AVE,1,2012
3699,Fatal/Injury Collision,100TH AVE / 148TH ST,1,2012
3700,Fatal/Injury Collision,150TH ST / LANSDOWNE DR,1,2012
3701,Fatal/Injury Collision,SCOTT RD / 110TH AVE,1,2012
3702,Fatal/Injury Collision,161ST ST / 96TH AVE,1,2012
3703,Fatal/Injury Collision,144TH ST / 70A AVE,1,2012
3704,Fatal/Injury Collision,96TH AVE / 132ND ST,1,2012
3705,Fatal/Injury Collision,144TH ST / FRASER HWY,1,2012
3706,Fatal/Injury Collision,93A AVE / 134TH ST,1,2012
3707,Fatal/Injury Collision,152ND ST / 56TH AVE,1,2012
3708,Fatal/Injury Collision,152ND ST / 94TH AVE,1,2012
3709,Fatal/Injury Collision,KING GEORGE BLVD / 64TH AVE,1,2012
3710,Fatal/Injury Collision,KING GEORGE BLVD / 132ND ST,1,2012
3711,Fatal/Injury Collision,104TH AVE / 138TH ST,1,2012
3712,Fatal/Injury Collision,192ND ST / 52ND AVE,1,2012
3713,Fatal/Injury Collision,80TH AVE / 172ND ST,1,2012
3714,Fatal/Injury Collision,168TH ST / 92A AVE,1,2012
3715,Fatal/Injury Collision,160TH ST / 103RD AVE,1,2012
3716,Fatal/Injury Collision,FRASER HWY / 64TH AVE,1,2012
3717,Fatal/Injury Collision,72ND AVE / 130TH ST,1,2012
3718,Fatal/Injury Collision,152ND ST / 101ST AVE,1,2012
3719,Fatal/Injury Collision,84TH AVE / KING GEORGE BLVD,1,2012
3720,Fatal/Injury Collision,104TH AVE / KING GEORGE BLVD,1,2012
3721,Fatal/Injury Collision,74TH AVE / 138TH ST,1,2012
3722,Fatal/Injury Collision,152ND ST / COLEBROOK RD,1,2012
3723,Fatal/Injury Collision,151ST ST / 96TH AVE,1,2012
3724,Fatal/Injury Collision,143RD ST / 32ND AVE,1,2012
3725,Fatal/Injury Collision,60TH AVE / 188TH ST,1,2012
3726,Fatal/Injury Collision,KING GEORGE BLVD / 88TH AVE,1,2012
3727,Fatal/Injury Collision,100TH AVE / WHALLEY BLVD,1,2012
3728,Fatal/Injury Collision,102A AVE / 102ND AVE,1,2012
3729,Fatal/Injury Collision,148TH ST / 84TH AVE,1,2012
3730,Fatal/Injury Collision,166TH ST / FRASER HWY,1,2012
3731,Fatal/Injury Collision,152ND ST / KING GEORGE BLVD,1,2012
