description,agency_responsible
Notification of Noisy Vacuum Valve,SEWER
Other Drainage Notification or Request,DRAINAGE
Street Lights Request,TRAFFIC
Notification of Missed Pick-Up,GARBAGE
Notification of Water Main Break or Leaking Issue,WATER
Notification of Water Main Break or Leaking Issue,WATER
Washroom Issue,LANDSCAPE
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Roadside Dumping,LITTER/DUMPING
Street Lights Request,TRAFFIC
Street Lights Request,TRAFFIC
Other Water Requests,WATER
Notification of Roadside Dumping,LITTER/DUMPING
Parks Other Issue,STRUCTURES
Other Water Requests,WATER
Notification of Pothole,ROADS
Notification of Missed Pick-Up,GARBAGE
Notification of Graffiti on City Asset,ROADS
Request for Additional Cart,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Water Main Break or Leaking Issue,WATER
Notification of Water Main Break or Leaking Issue,WATER
Notification of Signage Problem,ROADS
Notification of Water Main Break or Leaking Issue,WATER
Notification of Asphalt Repair,ROADS
Street Lights Request,TRAFFIC
Notification of Contractor Flipped Cart,GARBAGE
Request for Additional Cart,GARBAGE
Notification of Missed Pick-Up,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
"Creeks, Ditches and Watercourse Issues",DRAINAGE
Notification of No Water,WATER
Notification of Parking Issue,TRAFFIC
Passive Grass Litter/Dumping,LANDSCAPE
Notification of Roadside Dumping,LITTER/DUMPING
Request for Winter Road Maintenance,ROADS
Notification of Signage Problem,ROADS
Request for Winter Road Maintenance,ROADS
Request for Winter Road Maintenance,ROADS
Request for Winter Road Maintenance,ROADS
Request for Winter Road Maintenance,ROADS
Other Water Requests,WATER
Other Water Requests,WATER
Other Garbage or Recycling Request,GARBAGE
Notification of Noisy Vacuum Valve,SEWER
Notification of Missed Pick-Up,GARBAGE
"Notification of Sidewalk, Curb or Letdown Problem",ROADS
Notification of Missed Pick-Up,GARBAGE
Notification of Pothole,ROADS
Notification of Missed Pick-Up,GARBAGE
Street Lights Request,TRAFFIC
Notification of Sewer Back-up,SEWER
Notification of Missed Pick-Up,GARBAGE
Notification of Partial Pick-Up,GARBAGE
Notification of Missed Pick-Up,GARBAGE
Notification of Missed Pick-Up,GARBAGE
Street Lights Request,TRAFFIC
Notification of Other Road Problems,ROADS
Notification of Water Main Break or Leaking Issue,WATER
Request for Additional Cart,GARBAGE
Notification of Missed Pick-Up,GARBAGE
Request to Repair Hydrant,WATER
Other Water Requests,WATER
Notification of Water Quality Issue,WATER
Notification of Missed Pick-Up,GARBAGE
Notification of Roadside Litter,LITTER/DUMPING
Ponding or Flooding on Roadway,DRAINAGE
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Roadside Litter,LITTER/DUMPING
Street Lights Request,TRAFFIC
Passive Grass Litter/Dumping,LANDSCAPE
Notification of Missed Pick-Up,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Roadside Dumping,LITTER/DUMPING
Request for Additional Cart,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Noisy Vacuum Valve,SEWER
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Missed Pick-Up,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
Street Lights Request,TRAFFIC
Notification of Pothole,ROADS
Notification of Other Road Problems,ROADS
Passive Grass Litter/Dumping,LANDSCAPE
Street Lights Request,TRAFFIC
Notification of Other Road Problems,ROADS
Parks Other Issue,OTHER
Notification of Missed Pick-Up,GARBAGE
Notification of Missed Pick-Up,GARBAGE
Request for Winter Road Maintenance,ROADS
Notification of Signage Problem,ROADS
Notification of Roadside Dumping,LITTER/DUMPING
Request for Winter Road Maintenance,ROADS
Notification of Water Main Break or Leaking Issue,WATER
Street Lights Request,TRAFFIC
Request for Winter Road Maintenance,ROADS
Other Garbage or Recycling Request,GARBAGE
Notification of Safety Concern,TRAFFIC
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Graffiti on City Asset,ROADS
Street Lights Request,TRAFFIC
Notification of Water Main Break or Leaking Issue,WATER
Notification of Water Pressure too Low/High,WATER
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Sewer Back-up,SEWER
Notification of Missed Pick-Up,GARBAGE
Notification of Complaint by the Contractor,GARBAGE
Notification of Complaint by the Contractor,GARBAGE
Request for Kitchen Catcher,GARBAGE
Notification of No Post Guard Rail Problems,ROADS
Traffic Signals Request,TRAFFIC
Notification of Missed Pick-Up,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Complaint by the Contractor,GARBAGE
Parks Other Issue,STRUCTURES
Notification of Signage Problem,ROADS
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Partial Pick-Up,GARBAGE
Notification of Complaint by the Contractor,GARBAGE
Notification of Spill or Accident Clean-Up,ROADS
Notification of Edge Rut or Erosion,ROADS
Notification of Partial Pick-Up,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Contractor Flipped Cart,GARBAGE
Dog Issues,STRUCTURES
Request for Winter Road Maintenance,ROADS
New Household,GARBAGE
Request for Additional Cart,GARBAGE
Request for Additional Cart,GARBAGE
Notification of Missed Pick-Up,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Missed Pick-Up,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Stolen Cart,GARBAGE
Parks Other Issue,STRUCTURES
Parks Other Issue,STRUCTURES
Notification of Missed Pick-Up,GARBAGE
Other Drainage Notification or Request,DRAINAGE
Parks Other Issue,STRUCTURES
Notification of Contractor Flipped Cart,GARBAGE
Notification of Pothole,ROADS
Request for Additional Cart,GARBAGE
Street Tree Issue,SPECIMEN TREES
Notification of Contractor Flipped Cart,GARBAGE
Request for Winter Road Maintenance,ROADS
Other Litter/Dumping,LANDSCAPE
New Household,GARBAGE
Street Tree Issue,SPECIMEN TREES
Street Tree Issue,SPECIMEN TREES
Gravel Path Issue,NATURAL AREAS
Traffic Signals Request,TRAFFIC
Notification of Damaged Cart,GARBAGE
Dog Issues,STRUCTURES
Notification of Contractor Flipped Cart,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Stolen Cart,GARBAGE
New Household,GARBAGE
New Household,GARBAGE
Notification of Complaint by the Contractor,GARBAGE
Notification of Stolen Cart,GARBAGE
Notification of Missed Pick-Up,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
New Household,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Roadside Litter,LITTER/DUMPING
Street Tree Issue,SPECIMEN TREES
Street Lights Request,TRAFFIC
"Notification of Sidewalk, Curb or Letdown Problem",ROADS
Street Tree Issue,SPECIMEN TREES
Request for Cart Exchange,GARBAGE
Request for Cart Exchange,GARBAGE
Investigate Water Meter Issue,METERS
Street Lights Request,TRAFFIC
Request for Winter Road Maintenance,ROADS
Notification of Ditch Issue or Maintenance,SECTORS
Notification of Stolen Cart,GARBAGE
Street Lights Request,TRAFFIC
"Notification of Sidewalk, Curb or Letdown Problem",ROADS
Overflowing Garbage Can,LANDSCAPE
Notification of Roadside Dumping,LITTER/DUMPING
Request for Signage,TRAFFIC
Notification of Missed Pick-Up,GARBAGE
Street Lights Request,TRAFFIC
Street Lights Request,TRAFFIC
Notification of Roadside Dumping,LITTER/DUMPING
Request for Signage,TRAFFIC
Investigate Water Meter Issue,METERS
New Household,GARBAGE
Request for Kitchen Catcher,GARBAGE
Street Tree Issue,SPECIMEN TREES
Notification of Roadside Dumping,LITTER/DUMPING
Problem not Listed,STLIGHTS
Traffic Signals Request,TRAFFIC
New Household,GARBAGE
Private Property Issue,DRAINAGE
Notification of Roadside Dumping,LITTER/DUMPING
Traffic Signals Request,TRAFFIC
Street Tree Issue,SPECIMEN TREES
Other Garbage or Recycling Request,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
Grass Issue,LANDSCAPE
Notification of Missed Pick-Up,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
Request for Cart Exchange,GARBAGE
Notification of Roadside Litter,LITTER/DUMPING
Adopt-A-Street Signs Request,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Missed Pick-Up,GARBAGE
Street Tree Issue,SPECIMEN TREES
Notification of Missed Pick-Up,GARBAGE
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Water Main Break or Leaking Issue,WATER
Street Tree Issue,SPECIMEN TREES
Notification of Roadside Litter,LITTER/DUMPING
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Grillage Issue or Mtc,SECTORS
Notification of Roadside Dumping,LITTER/DUMPING
