description,agency_responsible
"Notification of Sidewalk, Curb or Letdown Problem",ROADS
Forested Area Issue,NATURAL AREAS
Notification of Other Road Problems,ROADS
Notification of Missed Pick-Up,GARBAGE
Notification of Signage Problem,ROADS
Notification of Damage to Private Property,GARBAGE
Notification of Other Road Problems,ROADS
Notification of Complaint by the Contractor,GARBAGE
Notification of Parking Issue,TRAFFIC
"Manhole, CB/LB, Grate Issues",DRAINAGE
ENG Other Request not listed,OTHER
Street Tree Issue,SPECIMEN TREES
Notification of Crack Seal,ROADS
Notification of Pothole,ROADS
Request for Kitchen Catcher Replacement,GARBAGE
Notification of Asphalt Repair,ROADS
Notification of Complaint by the Contractor,GARBAGE
Parks Other Issue,STRUCTURES
Notification of Other Road Problems,ROADS
Request for Cart Exchange,GARBAGE
Notification of Roadside Litter,LITTER/DUMPING
Notification of Crack Seal,ROADS
Street Tree Issue,SPECIMEN TREES
Notification of Asphalt Repair,ROADS
Notification of Parking Issue,TRAFFIC
Notification of Parking Issue,TRAFFIC
Street Tree Issue,SPECIMEN TREES
Notification of Road Rideability (MH high or low),DRAINAGE
Parks Other Issue,NATURAL AREAS
Parks Other Issue,STRUCTURES
Notification of Other Road Problems,ROADS
Other Garbage or Recycling Request,GARBAGE
Other Garbage or Recycling Request,GARBAGE
Other Sanitary Sewer Notification or Request,SEWER
Parks Other Issue,STRUCTURES
Parks Other Issue,OTHER
Notification of Other Road Problems,ROADS
Parks Other Issue,STRUCTURES
Street Tree Issue,SPECIMEN TREES
Notification of Parking Issue,TRAFFIC
Notification of Parking Issue,TRAFFIC
Forested Area Issue,NATURAL AREAS
Notification of Crack Seal,ROADS
Notification of Lane Repairs,ROADS
Notification of Complaint by the Contractor,GARBAGE
Notification of Road Rideability (MH high or low),DRAINAGE
Notification of Road Rideability (MH high or low),DRAINAGE
Notification of Manhole Issue or Maintenance,SECTORS
Notification of Other Road Problems,ROADS
Notification of Other Road Problems,ROADS
Notification of Complaint by the Contractor,GARBAGE
Street Tree Issue,SPECIMEN TREES
Notification of Parking Issue,TRAFFIC
ENG Other Request not listed,OTHER
Bark Mulch Path Issue,OTHER
Notification of Other Road Problems,SECTORS
Notification of Other Road Problems,SECTORS
Notification of Other Road Problems,SECTORS
Notification of Roadside Litter,LITTER/DUMPING
Notification of Other Road Problems,SECTORS
Notification of Roadside Dumping,LITTER/DUMPING
Parks Other Issue,STRUCTURES
Notification of Roadside Litter,LITTER/DUMPING
Street Tree Issue,SPECIMEN TREES
Notification of Other Road Problems,SECTORS
Notification of Other Sidewalk Issue,SECTORS
Notification of Missed Pick-Up,GARBAGE
Street Tree Issue,SPECIMEN TREES
Notification of Pothole,ROADS
Parks Other Issue,STRUCTURES
Parks Other Issue,STRUCTURES
D&amp;C Inquiry,DESIGN&CONSTRUCTION
D&amp;C Inquiry,DESIGN&CONSTRUCTION
Parks Other Issue,NATURAL AREAS
Notification of Complaint by the Contractor,GARBAGE
Notification of Roadside Litter,LITTER/DUMPING
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Pothole,ROADS
Notification of Asphalt Repair,ROADS
Playground Issue,OTHER
Notification of Crack Seal,ROADS
Notification of Parking Issue,TRAFFIC
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Other Walkway Issue,SECTORS
Request to Estimate Service Installation,WATER
Notification of Parking Issue,TRAFFIC
Notification of Complaint by the Contractor,GARBAGE
Notification of Damage to Private Property,GARBAGE
Parks Other Issue,STRUCTURES
Notification of Road Shoulder Issue or Mtc,SECTORS
Street Lights Request,TRAFFIC
Notification of Roadside Dumping,LITTER/DUMPING
Notification of Parking Issue,TRAFFIC
Notification of Damage to Private Property,GARBAGE
Notification of Street Light Outage,STLIGHTS
D&amp;C Inquiry,DESIGN&CONSTRUCTION
Street Tree Issue,SPECIMEN TREES
Other Litter/Dumping,NATURAL AREAS
Notification of Edge Rut or Erosion,ROADS
ENG Other Request not listed,OTHER
Notification of Asphalt Repair,ROADS
Notification of Asphalt Repair,ROADS
Notification of Other Road Problems,ROADS
Notification of Asphalt Repair,ROADS
"Notification of Sidewalk, Curb or Letdown Problem",ROADS
Notification of Pothole,ROADS
Notification of Other Road Problems,ROADS
Request to Read Water Meter,METERS
