HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR
9400 160TH ST ,Fatal/Injury Collision,1,2011
12800 108TH AVE ,Fatal/Injury Collision,1,2011
15300 102A AVE ,Fatal/Injury Collision,1,2011
7100  LEVY PL,Fatal/Injury Collision,1,2011
10200 141ST ST ,Fatal/Injury Collision,1,2011
19300 65TH AVE ,Fatal/Injury Collision,1,2011
9200 123A ST ,Fatal/Injury Collision,1,2011
8300 146TH ST ,Fatal/Injury Collision,1,2011
9700  120TH ST,Fatal/Injury Collision,1,2011
12800 OLD YALE RD,Fatal/Injury Collision,1,2011
13800 100TH AVE ,Fatal/Injury Collision,1,2011
18700 16TH AVE ,Fatal/Injury Collision,1,2011
6900  124TH ST,Fatal/Injury Collision,1,2011
18300 64TH AVE ,Fatal/Injury Collision,1,2011
15400  COLEBROOK RD,Fatal/Injury Collision,1,2011
15300 88TH AVE ,Fatal/Injury Collision,1,2011
14100 108TH AVE ,Fatal/Injury Collision,1,2011
7500 138TH ST ,Fatal/Injury Collision,1,2011
13300 84TH AVE ,Fatal/Injury Collision,1,2011
14400 109TH AVE ,Fatal/Injury Collision,1,2011
15700 FRASER HWY ,Fatal/Injury Collision,1,2011
13000 104TH AVE ,Fatal/Injury Collision,1,2011
12700 KING GEORGE BLVD,Fatal/Injury Collision,1,2011
8100 128TH ST ,Fatal/Injury Collision,1,2011
9600 137A ST ,Fatal/Injury Collision,1,2011
12200 66TH AVE ,Fatal/Injury Collision,1,2011
14100 91ST AVE ,Fatal/Injury Collision,1,2011
12800 KING GEORGE BLVD,Fatal/Injury Collision,1,2011
10900 131A ST ,Fatal/Injury Collision,1,2011
12400 82ND AVE ,Fatal/Injury Collision,1,2011
8300 123RD ST ,Fatal/Injury Collision,1,2011
13900 104TH AVE ,Fatal/Injury Collision,1,2011
12200 KING GEORGE BLVD,Fatal/Injury Collision,1,2011
6700 128TH ST ,Fatal/Injury Collision,1,2011
16400 GLENSIDE PL ,Fatal/Injury Collision,1,2011
8400  166TH ST,Fatal/Injury Collision,1,2011
10400 152ND ST ,Fatal/Injury Collision,1,2011
13700 104TH AVE ,Fatal/Injury Collision,1,2011
14900 57TH AVE ,Fatal/Injury Collision,1,2011
10300 KING GEORGE BLVD,Fatal/Injury Collision,1,2011
