HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR,LATITUDE,LONGTITUDE
12800 108TH AVE,Fatal/Injury Collision,1,2011,49.1991691,-122.8669404
9400 160TH ST,Fatal/Injury Collision,1,2011,49.17330980000001,-122.778847
15300 102A AVE,Fatal/Injury Collision,1,2011,49.188754,-122.7981679
7100  LEVY PL,Fatal/Injury Collision,1,2011,49.1319808,-122.8602213
10200 141ST ST,Fatal/Injury Collision,1,2011,49.1878146,-122.8313682
19300 65TH AVE,Fatal/Injury Collision,1,2011,49.122029,-122.68869
9200 123A ST,Fatal/Injury Collision,1,2011,49.17074419999999,-122.880391
8300 146TH ST,Fatal/Injury Collision,1,2011,49.1537707,-122.8175646
9700  120TH ST,Fatal/Injury Collision,1,2011,49.1788693,-122.8900794
12800 OLD YALE RD,Fatal/Injury Collision,1,2011,49.1970413,-122.8670135
13800 100TH AVE,Fatal/Injury Collision,1,2011,49.1842415,-122.8394706
18700 16TH AVE,Fatal/Injury Collision,1,2011,49.0311269,-122.7043289
6900  124TH ST,Fatal/Injury Collision,1,2011,49.12833879999999,-122.8790107
18300 64TH AVE,Fatal/Injury Collision,1,2011,49.1187461,-122.7154446
15400  COLEBROOK RD,Fatal/Injury Collision,1,2011,49.0985964,-122.7956662
15300 88TH AVE,Fatal/Injury Collision,1,2011,49.1627697,-122.7986869
14100 108TH AVE,Fatal/Injury Collision,1,2011,49.19882399999999,-122.8313517
7500 138TH ST,Fatal/Injury Collision,1,2011,49.1387724,-122.8398945
13300 84TH AVE,Fatal/Injury Collision,1,2011,49.1554176,-122.8540246
14400 109TH AVE,Fatal/Injury Collision,1,2011,49.2008719,-122.8250668
15700 FRASER HWY,Fatal/Injury Collision,1,2011,49.1605658,-122.7874741
13000 104TH AVE,Fatal/Injury Collision,1,2011,49.1916671,-122.8620065
12700 KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.2062503,-122.867417
8100 128TH ST,Fatal/Injury Collision,1,2011,49.14992729999999,-122.8679857
