INCIDENT_TYPE,MONTH,YEAR,HUNDRED_BLOCK
Theft of Motor Vehicle,1,2014,17700 64TH AVE     
Theft from Motor Vehicle,1,2014,8100 128TH ST     
Fatal/Injury Collision,1,2014,9700 134TH ST     
Fatal/Injury Collision,1,2014,2400 140TH ST     
Break and Enter - Business,1,2014,15900 108TH AVE     
Theft of Motor Vehicle,1,2014,13600 67TH AVE     
Fatal/Injury Collision,1,2014,12500 82ND AVE     
Shoplifting,1,2014,12800 KING GEORGE BLVD    
Fatal/Injury Collision,1,2014,3100 KING GEORGE BLVD    
Break and Enter - Business,1,2014,16900 64TH AVE     
Fatal/Injury Collision,1,2014,3000 184TH ST     
Break and Enter - Residence,1,2014,10700 UNIVERSITY DR     
Theft from Motor Vehicle,1,2014,14600 73RD AVE     
Theft from Motor Vehicle,1,2014,16000 95A AVE     
Theft from Motor Vehicle,1,2014,19400 LANGLEY BPS     
Fatal/Injury Collision,1,2014,12300 104TH AVE     
Theft of Motor Vehicle,1,2014,12100 72ND AVE     
Break and Enter - Business,1,2014,13000 HUNTLEY AVE     
Theft from Motor Vehicle,1,2014,12900 98A AVE     
Break and Enter - Business,1,2014,7600 122ND ST     
Theft of Motor Vehicle,1,2014,9400 128TH ST     
Theft from Motor Vehicle,1,2014,9000 162ND ST     
Theft from Motor Vehicle,1,2014,17700 60TH AVE     
Fatal/Injury Collision,1,2014,13500 60TH AVE     
Theft from Motor Vehicle,1,2014,8900 146A ST     
Break and Enter - Business,1,2014,14800 SPENSER DR     
Break and Enter - Business,1,2014,5800 184TH ST     
Break and Enter - Residence,1,2014,17900 55TH AVE     
Theft of Motor Vehicle,1,2014,13300 108TH AVE     
Break and Enter - Business,1,2014,12100 75A AVE     
Break and Enter - Business,1,2014,14700 64TH AVE     
Break and Enter - Business,1,2014,15900 FRASER HWY     
Theft from Motor Vehicle,1,2014,15600 80TH AVE     
Theft from Motor Vehicle,1,2014,8800 139A ST     
Theft of Motor Vehicle,1,2014,9400 131A ST     
Break and Enter - Residence,1,2014,14000 110TH AVE     
Theft of Motor Vehicle,1,2014,14100 104TH AVE     
Theft of Motor Vehicle,1,2014,15900 88A AVE     
Shoplifting,1,2014,9500 132ND ST     
Theft of Motor Vehicle,1,2014,13700 23A AVE     
Theft from Motor Vehicle,1,2014,15000 101ST AVE     
Break and Enter - Business,1,2014,9300 126TH ST     
Break and Enter - Business,1,2014,12800 96TH AVE     
Theft from Motor Vehicle,1,2014,14300 109TH AVE     
Theft from Motor Vehicle,1,2014,13800 104TH AVE     
Break and Enter - Business,1,2014,7000 188TH ST     
Theft from Motor Vehicle,1,2014,14500 76A AVE     
Break and Enter - Residence,1,2014,13000 65B AVE     
Break and Enter - Business,1,2014,7700 128TH ST     
Theft from Motor Vehicle,1,2014,8800 159A ST     
Theft from Motor Vehicle,1,2014,12900 73B AVE     
Theft of Motor Vehicle,1,2014,16100 83RD AVE     
Break and Enter - Residence,1,2014,15000 34A AVE     
Theft from Motor Vehicle,1,2014,15000 34A AVE     
Theft of Motor Vehicle,1,2014,13500 18TH AVE     
Shoplifting,1,2014,13500 88TH AVE     
Theft from Motor Vehicle,1,2014,8700 158TH ST     
Break and Enter - Residence,1,2014,17900 55TH AVE     
Fatal/Injury Collision,1,2014,10000 137A ST     
Theft of Motor Vehicle,1,2014,14300 72A AVE     
Shoplifting,1,2014,8000 KING GEORGE BLVD    
Theft of Motor Vehicle,1,2014,13100 98A AVE     
Break and Enter - Business,1,2014,15100 100TH AVE     
Shoplifting,1,2014,15300 24TH AVE     
Theft of Motor Vehicle,1,2014,9300 149A ST     
Theft from Motor Vehicle,1,2014,9400 162A ST     
Theft of Motor Vehicle,1,2014,17400 64A AVE     
Theft from Motor Vehicle,1,2014,6500 CLAYTONWOOD PL     
Break and Enter - Business,1,2014,12600 72ND AVE     
Break and Enter - Business,1,2014,10000 152ND ST     
Theft of Motor Vehicle,1,2014,14300 109TH AVE     
Theft from Motor Vehicle,1,2014,14900 76A AVE     
Break and Enter - Business,1,2014,8300 130TH ST     
Theft of Motor Vehicle,1,2014,14500 76TH AVE     
Theft of Motor Vehicle,1,2014,14500 91ST AVE     
Break and Enter - Business,1,2014,13700 96TH AVE     
Theft of Motor Vehicle,1,2014,15500 48TH AVE     
Theft from Motor Vehicle,1,2014,17000 57TH AVE     
Theft from Motor Vehicle,1,2014,3500 ROSEMARY HEIGHTS CRES    
Theft of Motor Vehicle,1,2014,16100 83RD AVE     
Break and Enter - Business,1,2014,15100 101ST AVE     
Break and Enter - Business,1,2014,15900 FRASER HWY     
Theft from Motor Vehicle,1,2014,15300 85A AVE     
Theft from Motor Vehicle,1,2014,6400 130TH ST     
Theft from Motor Vehicle,1,2014,6200 180A ST     
Break and Enter - Business,1,2014,8200 146TH ST     
Break and Enter - Business,1,2014,15600 FRASER HWY     
Break and Enter - Residence,1,2014,17600 64TH AVE     
Break and Enter - Residence,1,2014,8200 KING GEORGE BLVD    
Theft of Motor Vehicle,1,2014,17300 3RD AVE     
Break and Enter - Residence,1,2014,5800 137B ST     
