LOCATION,IMAGE,ROTATION,LONGITUDE,LATITUDE
Colebrook Rd And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_colebrook_kgbv_cam1.jpg,,-122.8180491,49.09401236
Crescent Rd And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_cres_kgbv_cam1.jpg,,-122.8206532,49.06760453
Fraser Hwy And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_140_cam1.jpg,,-122.8341435,49.17862983
Fraser Hwy And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_152_cam1.jpg,,-122.8012502,49.16589869
Fraser Hwy And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_152_cam2.jpg,,-122.8005787,49.16564315
Fraser Hwy And 160 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_160_cam1.jpg,,-122.7787251,49.15716912
Fraser Hwy And 168 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_168_cam1.jpg,,-122.7566776,49.14788572
Fraser Hwy And 184 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_184_cam1.jpg,,-122.7123923,49.12882495
Fraser Hwy And 188 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_188_cam1.jpg,,-122.7016491,49.12351315
Fraser Hwy And Whalley Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_whalley_cam1.jpg,,-122.8411392,49.1806169
56 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_no10_kgbv_cam1.jpg,,-122.8319788,49.10537864
King George Blvd And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_120_cam1.jpg,,-122.8744071,49.20554614
King George Blvd And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_128_cam1.jpg,,-122.867499,49.20644348
King George Blvd And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_128_cam2.jpg,,-122.8685452,49.20612059
