HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR,Latitude,Longitude
9400 160TH ST ,Fatal/Injury Collision,1,2011,49.13121899999999,-122.68383
12800 108TH AVE ,Fatal/Injury Collision,1,2011,49.1768234,-122.8037802
15300 102A AVE ,Fatal/Injury Collision,1,2011,49.1334737,-122.8453293
7100  LEVY PL,Fatal/Injury Collision,1,2011,49.1481481,-122.8456631
10200 141ST ST ,Fatal/Injury Collision,1,2011,49.0491846,-122.7836624
19300 65TH AVE ,Fatal/Injury Collision,1,2011,49.1365786,-122.8540383
9200 123A ST ,Fatal/Injury Collision,1,2011,49.2028648,-122.8781821
8300 146TH ST ,Fatal/Injury Collision,1,2011,49.1410308,-122.8678486
9700  120TH ST,Fatal/Injury Collision,1,2011,49.15292350000001,-122.7678285
12800 OLD YALE RD,Fatal/Injury Collision,1,2011,49.1625479,-122.868114
13800 100TH AVE ,Fatal/Injury Collision,1,2011,49.1044302,-122.801094
18700 16TH AVE ,Fatal/Injury Collision,1,2011,49.1044055,-122.806528
6900  124TH ST,Fatal/Injury Collision,1,2011,49.1190816,-122.8454849
18300 64TH AVE ,Fatal/Injury Collision,1,2011,49.201761,-122.8876497
15400  COLEBROOK RD,Fatal/Injury Collision,1,2011,49.1298665,-122.7007762
15300 88TH AVE ,Fatal/Injury Collision,1,2011,49.1870844,-122.7884586
14100 108TH AVE ,Fatal/Injury Collision,1,2011,49.1560812,-122.7758962
7500 138TH ST ,Fatal/Injury Collision,1,2011,49.1769834,-122.6824549
13300 84TH AVE ,Fatal/Injury Collision,1,2011,49.126175,-122.8548155
14400 109TH AVE ,Fatal/Injury Collision,1,2011,49.1024379,-122.7349597
15700 FRASER HWY ,Fatal/Injury Collision,1,2011,49.1716643,-122.8568643
13000 104TH AVE ,Fatal/Injury Collision,1,2011,49.11132,-122.7404544
12700 KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1498785,-122.8513099
8100 128TH ST ,Fatal/Injury Collision,1,2011,49.0545677,-122.7949947
9600 137A ST ,Fatal/Injury Collision,1,2011,49.20573599999999,-122.884776
12200 66TH AVE ,Fatal/Injury Collision,1,2011,49.1338083,-122.8678271
14100 91ST AVE ,Fatal/Injury Collision,1,2011,49.0330728,-122.801101
